Date,Open,High,Low,Close,Adj Close,Volume,Stock
2017-06-16,5243.52978515625,5273.68017578125,5236.0,5263.31005859375,5263.31005859375,164098100,CAC 40 Index
2017-06-19,5305.22021484375,5331.31982421875,5302.0498046875,5310.72021484375,5310.72021484375,77527800,CAC 40 Index
2017-06-20,5330.580078125,5339.5498046875,5293.64990234375,5293.64990234375,5293.64990234375,81245800,CAC 40 Index
2017-06-21,5273.0,5286.06005859375,5224.0498046875,5274.259765625,5274.259765625,83179900,CAC 40 Index
2017-06-22,5258.68017578125,5286.4599609375,5237.330078125,5281.93017578125,5281.93017578125,80688900,CAC 40 Index
2017-06-23,5273.240234375,5283.8798828125,5247.52001953125,5266.1201171875,5266.1201171875,66693700,CAC 40 Index
2017-06-26,5295.0400390625,5323.72998046875,5289.56005859375,5295.75,5295.75,67071900,CAC 40 Index
2017-06-27,5282.8701171875,5284.9599609375,5237.669921875,5258.580078125,5258.580078125,90277800,CAC 40 Index
2017-06-28,5235.830078125,5273.9501953125,5203.89990234375,5252.89990234375,5252.89990234375,96381000,CAC 40 Index
2017-06-29,5268.22998046875,5272.93994140625,5143.81982421875,5154.35009765625,5154.35009765625,114605600,CAC 40 Index
2017-06-30,5157.58984375,5192.39013671875,5117.22998046875,5120.68017578125,5120.68017578125,97126700,CAC 40 Index
2017-07-03,5151.18994140625,5200.72998046875,5151.18994140625,5195.72021484375,5195.72021484375,76373400,CAC 40 Index
2017-07-04,5170.5400390625,5197.81005859375,5165.85986328125,5174.89990234375,5174.89990234375,56279100,CAC 40 Index
2017-07-05,5174.7900390625,5192.509765625,5160.85986328125,5180.10009765625,5180.10009765625,85258200,CAC 40 Index
2017-07-06,5177.2099609375,5177.6201171875,5111.16015625,5152.39990234375,5152.39990234375,91164900,CAC 40 Index
2017-07-07,5149.7900390625,5155.419921875,5125.990234375,5145.16015625,5145.16015625,74708800,CAC 40 Index
2017-07-10,5160.7001953125,5179.33984375,5147.669921875,5165.64013671875,5165.64013671875,60989800,CAC 40 Index
2017-07-11,5172.02978515625,5186.43994140625,5135.9501953125,5140.60009765625,5140.60009765625,64875700,CAC 40 Index
2017-07-12,5158.22998046875,5239.02001953125,5157.83984375,5222.1298828125,5222.1298828125,83513800,CAC 40 Index
2017-07-13,5228.93017578125,5259.47021484375,5221.580078125,5235.39990234375,5235.39990234375,75719800,CAC 40 Index
2017-07-14,5246.2001953125,5246.77978515625,5215.97998046875,5235.31005859375,5235.31005859375,60089700,CAC 40 Index
2017-07-17,5238.41015625,5246.22998046875,5214.31005859375,5230.169921875,5230.169921875,53978000,CAC 40 Index
2017-07-18,5219.669921875,5233.14990234375,5164.6298828125,5173.27001953125,5173.27001953125,75790200,CAC 40 Index
2017-07-19,5196.1298828125,5218.990234375,5174.2900390625,5216.06982421875,5216.06982421875,69296400,CAC 40 Index
2017-07-20,5239.4599609375,5251.25,5177.72998046875,5199.22021484375,5199.22021484375,78772300,CAC 40 Index
2017-07-21,5188.919921875,5208.85009765625,5095.1201171875,5117.66015625,5117.66015625,106403800,CAC 40 Index
2017-07-24,5133.68017578125,5143.47998046875,5094.35986328125,5127.7001953125,5127.7001953125,72053200,CAC 40 Index
2017-07-25,5130.52978515625,5193.18994140625,5130.52978515625,5161.080078125,5161.080078125,91159700,CAC 40 Index
2017-07-26,5162.240234375,5208.330078125,5158.7900390625,5190.169921875,5190.169921875,79110400,CAC 40 Index
2017-07-27,5181.14990234375,5218.56005859375,5172.77978515625,5186.9501953125,5186.9501953125,99460800,CAC 40 Index
2017-07-28,5144.02978515625,5144.02978515625,5105.72021484375,5131.39013671875,5131.39013671875,99859600,CAC 40 Index
2017-07-31,5127.6298828125,5148.14990234375,5092.14013671875,5093.77001953125,5093.77001953125,87612000,CAC 40 Index
2017-08-01,5116.89990234375,5148.490234375,5087.3798828125,5127.02978515625,5127.02978515625,75327900,CAC 40 Index
2017-08-02,5122.3798828125,5135.14013671875,5094.64013671875,5107.25,5107.25,82005400,CAC 40 Index
2017-08-03,5097.14013671875,5142.91015625,5084.2001953125,5130.490234375,5130.490234375,71167300,CAC 40 Index
2017-08-04,5122.39990234375,5216.39990234375,5118.60986328125,5203.43994140625,5203.43994140625,78567600,CAC 40 Index
2017-08-07,5210.72998046875,5220.58984375,5195.259765625,5207.89013671875,5207.89013671875,63788300,CAC 40 Index
2017-08-08,5200.2001953125,5231.64990234375,5191.3798828125,5218.89013671875,5218.89013671875,62058600,CAC 40 Index
2017-08-09,5182.0498046875,5183.3701171875,5122.5,5145.7001953125,5145.7001953125,84579800,CAC 40 Index
2017-08-10,5140.990234375,5148.47021484375,5096.18994140625,5115.22998046875,5115.22998046875,71793700,CAC 40 Index
2017-08-11,5081.919921875,5086.06005859375,5046.75,5060.919921875,5060.919921875,86172400,CAC 40 Index
2017-08-14,5082.8701171875,5136.18994140625,5080.009765625,5121.669921875,5121.669921875,57283400,CAC 40 Index
2017-08-15,5141.02001953125,5158.5,5123.97021484375,5140.25,5140.25,48077600,CAC 40 Index
2017-08-16,5159.10009765625,5200.16015625,5159.10009765625,5176.60986328125,5176.60986328125,55940500,CAC 40 Index
2017-08-17,5164.5400390625,5180.259765625,5137.419921875,5146.85009765625,5146.85009765625,64545000,CAC 40 Index
2017-08-18,5103.47021484375,5117.0400390625,5074.4501953125,5114.14990234375,5114.14990234375,73461700,CAC 40 Index
2017-08-21,5091.31005859375,5105.93994140625,5066.18994140625,5087.58984375,5087.58984375,59101700,CAC 40 Index
2017-08-22,5112.1298828125,5137.5400390625,5101.68017578125,5131.85986328125,5131.85986328125,57269900,CAC 40 Index
2017-08-23,5125.02978515625,5149.080078125,5105.5498046875,5115.39013671875,5115.39013671875,58660400,CAC 40 Index
2017-08-24,5127.7099609375,5136.2998046875,5111.85986328125,5113.1298828125,5113.1298828125,55558700,CAC 40 Index
2017-08-25,5121.47998046875,5141.0498046875,5098.509765625,5104.330078125,5104.330078125,57203600,CAC 40 Index
2017-08-28,5076.47021484375,5106.25,5066.009765625,5079.75,5079.75,37172200,CAC 40 Index
2017-08-29,5035.3798828125,5041.89013671875,4995.06982421875,5031.919921875,5031.919921875,83662800,CAC 40 Index
